time (Z=Zulu=UTC); tripId; stop.name; line.name; direction; when; plannedWhen; delay
2022-03-16T17:51:51.231Z;1|28322|0|86|16032022;S Messe Nord/ICC;X34;S+U Zoologischer Garten;2022-03-16T19:17:00+01:00;2022-03-16T19:16:00+01:00;60
2022-03-16T17:51:51.231Z;1|10092|2|86|16032022;S Messe Nord/ICC;139;Hakenfelde, Werderstr.;2022-03-16T19:21:00+01:00;2022-03-16T19:21:00+01:00;
2022-03-16T17:51:51.231Z;1|10066|3|86|16032022;U Kaiserdamm;139;S Messe Nord/ICC;2022-03-16T19:26:00+01:00;2022-03-16T19:16:00+01:00;600
2022-03-16T17:51:51.231Z;1|10066|3|86|16032022;Messedamm/ZOB;139;S Messe Nord/ICC;2022-03-16T19:27:00+01:00;2022-03-16T19:17:00+01:00;600
2022-03-16T17:51:51.804Z;1|24861|0|86|16032022;Kantstr./Leibnizstr.;M49;Staaken, Reimerweg;2022-03-16T18:50:00+01:00;2022-03-16T18:51:00+01:00;-60
2022-03-16T17:51:51.804Z;1|6102|0|86|16032022;Kantstr./Leibnizstr.;101;U Fehrbelliner Platz;2022-03-16T18:50:00+01:00;2022-03-16T18:53:00+01:00;-180
2022-03-16T17:51:51.804Z;1|28354|0|86|16032022;Kantstr./Leibnizstr.;X34;Kladow, Hottengrund;2022-03-16T18:52:00+01:00;2022-03-16T18:52:00+01:00;0
2022-03-16T17:51:51.804Z;1|24756|0|86|16032022;Kantstr./Leibnizstr.;M49;S+U Zoologischer Garten;2022-03-16T18:52:00+01:00;2022-03-16T18:53:00+01:00;-60
2022-03-16T17:51:51.804Z;1|28276|0|86|16032022;Kantstr./Leibnizstr.;X34;S+U Zoologischer Garten;2022-03-16T18:55:00+01:00;2022-03-16T18:55:00+01:00;0
2022-03-16T17:51:51.804Z;1|6166|0|86|16032022;Kantstr./Leibnizstr.;101;U Turmstr.;2022-03-16T18:57:00+01:00;2022-03-16T18:54:00+01:00;180
2022-03-16T17:51:51.804Z;1|24914|0|86|16032022;Kantstr./Leibnizstr.;M49;Heerstr./Nennhauser Damm;2022-03-16T19:02:00+01:00;2022-03-16T19:02:00+01:00;0
2022-03-16T17:51:51.804Z;1|6101|2|86|16032022;Kantstr./Leibnizstr.;101;Zehlendorf, Sachtlebenstr.;2022-03-16T19:03:00+01:00;2022-03-16T19:03:00+01:00;0
2022-03-16T17:51:51.804Z;1|24806|0|86|16032022;Kantstr./Leibnizstr.;M49;S+U Zoologischer Garten;2022-03-16T19:03:00+01:00;2022-03-16T19:03:00+01:00;0
2022-03-16T17:51:51.804Z;1|6201|2|86|16032022;Kantstr./Leibnizstr.;101;U Turmstr.;2022-03-16T19:03:00+01:00;2022-03-16T19:04:00+01:00;-60
2022-03-16T17:51:51.804Z;1|28398|0|86|16032022;Kantstr./Leibnizstr.;X34;Kladow, Gutsstr.;2022-03-16T19:04:00+01:00;2022-03-16T19:04:00+01:00;0
2022-03-16T17:51:51.804Z;1|28321|0|86|16032022;Kantstr./Leibnizstr.;X34;S+U Zoologischer Garten;2022-03-16T19:07:00+01:00;2022-03-16T19:05:00+01:00;120
2022-03-16T17:51:51.804Z;1|24862|0|86|16032022;Kantstr./Leibnizstr.;M49;Staaken, Reimerweg;2022-03-16T19:12:00+01:00;2022-03-16T19:12:00+01:00;0
2022-03-16T17:51:51.804Z;1|6102|1|86|16032022;Kantstr./Leibnizstr.;101;U Fehrbelliner Platz;2022-03-16T19:13:00+01:00;2022-03-16T19:13:00+01:00;0
2022-03-16T17:51:51.804Z;1|6166|1|86|16032022;Kantstr./Leibnizstr.;101;U Turmstr.;2022-03-16T19:13:00+01:00;2022-03-16T19:14:00+01:00;-60
2022-03-16T17:51:51.804Z;1|28355|0|86|16032022;Kantstr./Leibnizstr.;X34;Kladow, Hottengrund;2022-03-16T19:14:00+01:00;2022-03-16T19:14:00+01:00;0
2022-03-16T17:51:51.804Z;1|28277|0|86|16032022;Kantstr./Leibnizstr.;X34;S+U Zoologischer Garten;2022-03-16T19:15:00+01:00;2022-03-16T19:14:00+01:00;60
2022-03-16T17:51:51.804Z;1|24757|0|86|16032022;Kantstr./Leibnizstr.;M49;S+U Zoologischer Garten;2022-03-16T19:15:00+01:00;2022-03-16T19:15:00+01:00;
2022-03-16T17:51:51.804Z;1|24807|0|86|16032022;Kantstr./Leibnizstr.;M49;S+U Zoologischer Garten;2022-03-16T19:20:00+01:00;2022-03-16T19:21:00+01:00;-60
